,name,price,brand,rating,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen,weight
236,"Acer Predator Helios 300 PH315-51-74V4 15.6"" 144 Hz FHD IPS GTX 1060 6 GB VRAM i7-8750H 16 GB Memory 1 TB HDD + 256 GB SSD Windows 10 Home Gaming Laptop",1449,Acer,5,Intel Core i7 8th Gen,2.2,6,1256,16,1650,6 GB,15.6,2.1
237,"HP Spectre x360 - 15t 7FQ49AV Home and Business Laptop (Intel i7-8565U 4-Core, 16GB RAM, 512GB SSD, 15.6"" Touch  4K UHD (3840x2160), NVIDIA GeForce MX150, Fingerprint, Wifi, Bluetooth, Win 10 Home)",1449,HP,5,Intel Core i7 8th Gen,1.8,6,640,16,1650,12,15.6,2.2
238,"HP EliteBook 840 G6 14"" TouchScreen Laptop i5-8365U 8GB 256GB SSD Windows 10 Pro",1440.24,-1,5,-1,2.4,6,640,12,1650,12,14,4.7
239,"Refurbished: HP OMEN 17-AN130CA 17.3"" IPS Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1070 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",1439.99,HP,5,Intel Core i7 8th Gen,2.2,6,1256,16,1650,8 GB,17.3,2.5
240,"Lenovo Y50 Touch (59426255) 15.6"" Intel Core i7 4th Gen 4700HQ (2.40 GHz) NVIDIA GeForce GTX 860M 8 GB Memory 8 GB SSD 1 TB HDD Windows 8.1 64-Bit Gaming Laptop",1427,Lenovo,5,Intel Core i7 4th Gen,2.4,4,1008,8,1650,2 GB,15.6,2.2
241,"ASUS TUF Gaming TUF505DU-KB71 Essential (AMD Ryzen 7 3750H, 32GB RAM, 2TB NVMe SSD + 1TB SSHD, NVIDIA GTX1660Ti 6GB, 15.6"" Full HD, Windows 10) Gaming Laptop",1407,ASUS,5,AMD Ryzen 7 2nd Gen,2.3,4,640,32,1650,6 GB,15.6,2.1
242,"Acer - Gaming Laptop - 15.6"" FHD IPS, Intel Core i7-7700HQ (2.80 GHz), NVIDIA GeForce GTX 1060 6 GB, 16 GB RAM, 512 GB SSD, Windows 10 Home, Predator Triton 700 (PT715-51-761M)",1399.99,Acer,5,Intel Core i7 7th Gen,2.8,4,768,16,1650,6 GB,15.6,2.69
243,"OMEN by HP 15.6-inch Gaming Laptop w/ 144Hz Micro-Edge Display, Intel i7-8750H Hexa Core, GeForce GTX 1070 Max-Q 8GB GDDR5, 16GB 2666MHz RAM, 1TB HDD & 16GB Intel PCIe Optane Memory, Windows 10 Pro",1399.95,HP,5,Intel Core i7 8th Gen,2.2,6,640,16,1650,8 GB,15.6,2.56
244,"OMEN by HP 15.6-inch Gaming Laptop w/ 144Hz Micro-Edge Display, Intel i7-8750H Hexa Core, GeForce GTX 1070 Max-Q 8GB GDDR5, 16GB 2666MHz RAM, 1TB HDD & 16GB Intel PCIe Optane Memory, Windows 10 Pro",1399.95,HP,5,Intel Core i7 8th Gen,2.2,6,640,16,1650,8 GB,15.6,1.38
245,Eluktronics N970TF Desktop Powered CPU Gaming Laptop - Intel G5400 Dual Core Processor Win 10 Home 8GB GDDR6 NVIDIA GeForce RTX 2070 17.3” Full HD 144Hz Display 128GB PCIe NVMe SSD 8GB DDR4 RAM,1399.95,Eluktronics,5,Intel Pentium Gold,3.7,2,640,8,1650,8 GB,17.3,2.2
246,"HIDevolution MSI GS65 8SE Stealth 15.6” FHD 144Hz | 2.2 GHz i7-8750H, RTX 2060, 16GB 2666MHz RAM, 512GB PCIe SSD | Authorized Performance Upgrades & Warranty",1399,MSI,5,Intel Core i7 8th Gen,2.2,6,512,16,1650,6 GB,15.6,2.04
247,"MSI GL Series GL73 8SE-028 17.3"" 120 Hz Intel Core i5 8th Gen 8300H (2.30 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 256 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1399,MSI,5,Intel Core i5 8th Gen,2.3,4,256,16,1650,6 GB,17.3,3.6
248,Alienware AW17R5-7108SLV 17.3'' FHD IPS GTX 1060 6 GB VRAM i7-8750H 8 GB Memory 1 TB HDD + 256 GB SSD Windows 10 Home Gaming Laptop,1399,Alienware,5,Intel Core i7 8th Gen,2.2,6,1256,8,1650,6 GB,17.3,1.49
249,"Gigabyte AORUS 7 Gaming and Entertainment Laptop (Intel i7-9750H 6-Core, 8GB RAM, 256GB PCIe SSD + 1TB  HDD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1650, Wifi, Bluetooth, Webcam, Win 10 Home)",1399,GIGABYTE,5,Intel Core i7 9th Gen,2.6,6,640,8,1650,12,17.3,1.37
250,"MSI GL Series GL75 9SDK-057 17.3"" 120 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1399,MSI,5,Intel Core i7 9th Gen,2.6,6,512,16,1650,6 GB,17.3,2.08
251,"MSI GL Series GL75 9SDK-057 17.3"" 120 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1399,MSI,5,Intel Core i7 9th Gen,2.6,6,512,16,1650,6 GB,17.3,4.3
252,"ASUS TUF FX505DV Laptop Black (AMD Ryzen 7 3750H 4-Core, 16GB RAM, 512GB SSD, 15.6"" Full HD (1920x1080), NVIDIA RTX 2060, Wifi, Bluetooth, Webcam, 2xUSB 3.2, 1xHDMI, Backlit Keyboard, Win 10 Home)",1399,-1,5,-1,2.4,6,640,12,1650,12,-1,1.68
253,"Acer Predator Helios 300 G3-572-72YF 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",1399,Acer,5,Intel Core i7 7th Gen,2.8,4,1256,16,1650,6 GB,15.6,1.37
254,"HP EliteBook 840 G6 14"" 7WZ91UT FHD Laptop i5-8365U 8GB 256GB SSD W10P",1393.2,-1,5,-1,2.4,6,640,12,1650,12,14,3
255,"HP EliteBook 840 G6 14"" 7WZ91UT FHD Laptop i5-8365U 8GB 256GB SSD W10P",1393.2,-1,5,-1,2.4,6,640,12,1650,12,14,1.41
256,"Lenovo ThinkPad T490 14"" Full HD Laptop i5-10210U 8GB 256GB SSD Windows 10 Pro",1375.72,-1,5,-1,2.4,6,640,12,1650,12,14,1.91
257,"Aorus AORUS 15-SA-F71BDW 15.6"" IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",1371.02,Aorus,5,Intel Core i7 9th Gen,2.6,6,1000,16,1650,6 GB,15.6,2.9
258,"Lenovo ThinkPad T490 14"" Full HD Laptop i5-10210U 8GB 256GB SSD Windows 10 Pro",1363.85,-1,5,-1,2.4,6,640,12,1650,12,14,4.14
259,"HP OMEN 15-dc0020ca 15.6"" Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 12 GB Memory 128 GB SSD 1 TB HDD Windows 10 Home 64-Bit Bilingual Gaming Laptop",1357.97,HP,5,Intel Core i7 8th Gen,2.2,6,1128,12,1650,3 GB,15.6,2
260,"ASUS GL503VM-IH73 15.6"" Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 128 GB M.2 SATA SSD 1 TB HDD Windows 10 Home 64-Bit Gaming Laptop",1349.97,ASUS,5,Intel Core i7 7th Gen,2.8,4,1128,16,1650,6 GB,15.6,2.8
261,"ASUS VivoBook K571GT Gaming and Business Laptop (Intel i7-9750H 6-Core, 16GB RAM, 1TB  SATA SSD, 15.6"" Full HD (1920x1080), NVIDIA GTX 1650, Fingerprint, Wifi, Bluetooth, Webcam, Win 10 Home)",1349.9,ASUS,5,Intel Core i7 9th Gen,2.6,6,640,16,1650,12,15.6,2.2
262,"Lenovo ThinkPad P53s 15.6"" Touchscreen Laptop i5-8365U 256GB SSD W10 Nvidia P520",1336.95,-1,5,-1,2.4,6,640,12,1650,12,15.6,2.1
263,"MSI GF65 THIN 9SD-004 Enthusiast Plus (i7-9750H, 16GB RAM, 1TB NVMe SSD, NVIDIA GTX 1660 Ti 6GB, 15.6"" Full HD 120Hz 3ms, Windows 10) VR Ready Gaming Laptop",1335,XOTIC PC,5,Intel Core i7 9th Gen,2.6,6,640,16,1650,6 GB,15.6,2.18
264,"Lenovo ThinkPad T490 20Q90003US 14"" FHD Laptop i5-8365U 8GB 256GB SSD W10P",1307.86,-1,5,-1,2.4,6,640,12,1650,12,14,2.24
265,"DELL Latitude 7400 R3M2R 14"" FHD Laptop i7-8665U 8GB 256GB SSD W10P",1299.99,-1,5,-1,2.4,6,640,12,1650,12,14,2.67
266,"ASUS TUF Gaming FX504GM-ES74 15.6"" 120 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB PCIe NVMe SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",1299.99,ASUS,5,Intel Core i7 8th Gen,2.2,6,1256,16,1650,6 GB,15.6,1.1
267,"ASUS TUF Gaming FX504GM-ES74 15.6"" 120 Hz Intel Core i7 8th Gen 8750H (2.20 GHz) NVIDIA GeForce GTX 1060 16 GB Memory 256 GB PCIe NVMe SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",1299.99,ASUS,5,Intel Core i7 8th Gen,2.2,6,1256,16,1650,6 GB,15.6,2.2
268,"Newest Flagship*Acer Predator Helios Gaming Laptop( Intel 6-Core i7-9750H,16GB DDR4 ,256GB SSD)|15.6 FHD Widescreen IPS display 144Hz Refresh Rate|NVDIA GTX 1660Ti 6GB| Backlit KB | VR-Ready",1299.99,Acer,5,Intel Core i7 9th Gen,2.6,6,640,16,1650,6 GB,15.6,2.5
269,"Lenovo Legion Y530 Gaming Laptop, 15.6"" FHD Display, Intel 6-Core i7-8750H Upto 4.1GHz, 32GB RAM, 1TB NVMe SSD + 1TB HDD, GTX 1050 Ti 4GB, HDMI, MiniDP, Backlit Keys, Wi-Fi, Bluetooth, Windows 10 Pro",1299.99,Lenovo,5,Intel Core i7 8th Gen,2.2,6,2000,32,1650,4 GB,15.6,2.05
270,"Refurbished: Asus, ROG STRIX SCAR III  i7-9750H 2.6GHz, 16GB, 512GB SSD, 17.3"" FHD (1920x1080) BT WIN10HOME NVIDIA GTX 1660Ti 6144MB Backlit Keyboard (G731GU-BI7N9)",1299.99,Asus,5,Intel Core i7 9th Gen,2.4,6,512,16,1650,6 GB,17.3,1.37
271,"MSI GE Series GE65 Raider-431 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 1 TB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1299,MSI,5,Intel Core i7 9th Gen,2.6,6,1000,16,1650,6 GB,15.6,3.2
272,"MSI GL Series GL65 9SDK-025 15.6"" 120 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Thin Bezel Gaming Laptop",1299,MSI,5,Intel Core i7 9th Gen,2.6,6,512,16,1650,6 GB,15.6,2.14
273,"Dell Alienware M15 Gaming Laptop i7-8750H 15.6"" 300Nits FHD 144hz, 16GB RAM 256GB SSD + 1TB HDD, 1660 Ti 6GB, Nebula Red",1299,DELL,5,-1,2.4,6,640,12,1650,12,15.6,1.36
274,"Open Box: ASUS ROG Strix Hero Edition GL503VM-DB74 15.6"" 120 Hz IPS GTX 1060 Intel Core i7 7th Gen 7700HQ (2.80 GHz) 16 GB Memory 256 GB SSD 1 TB SSHD Windows 10 Home 64-Bit Gaming Laptop",1280,ASUS,5,Intel Core i7 7th Gen,2.8,4,1256,16,1650,6 GB,15.6,2.2
275,"Lenovo ThinkPad X390 13.3"" Laptop i5-10210U 8GB 256GB SSD Windows 10 Pro",1275.23,-1,5,-1,2.4,6,640,12,1650,12,13.3,2.3
276,"Open Box: ASUS VivoBook Pro N580VD-DS76T 15.6"" 4K/UHD 60 Hz Intel Core i7 7th Gen 7700HQ (2.80 GHz) NVIDIA GeForce GTX 1050 16 GB Memory 256 GB SSD 1 TB HDD Windows 10 Home 64-bit Gaming Laptop",1275,ASUS,5,Intel Core i7 7th Gen,2.8,4,1256,16,1650,4 GB,15.6,2.8
277,"Newest Lenovo Legion Y540 15.6""FHD IPS  Gaming Laptop|Intel Core i7-9750H Hexa-Core Processor|Nvidia GeForce GTX 1650 4GB Graphics Card| 1GB Memory|512GB  M.2 SSD +1TB HDD|Backlit Keyboard| Windows 10",1269.99,Lenovo,5,Intel Core i7 9th Gen,2.6,6,1512,16,1650,4 GB,15.6,2.2
278,"MSI GE Series GE65 Raider-432 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1262.27,MSI,5,Intel Core i7 9th Gen,2.6,6,512,16,1650,6 GB,15.6,2.8
279,"Newest Lenovo Legion Y540 15.6"" FHD IPS Gaming Laptop| Intel Quad-Core i5-9300H| NVIDIA GeForce GTX1660Ti 6GB|32GB DDR4|1TB M.2 SSD+1TB HDD| HDMI |Mini DisplayPort| Backlit Keyboard | Windows 10",1259.99,-1,5,Intel Core i5 9th Gen,2.4,6,640,32,1650,6 GB,15.6,2.8
280,"MSI GL Series GL65 9SEK-065 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1249,MSI,5,Intel Core i7 9th Gen,2.6,6,512,16,1650,6 GB,15.6,2.8
281,"MSI GF75 THIN 9SC-278 Gaming and Entertainment Laptop (Intel i7-9750H 6-Core, 16GB RAM, 512GB PCIe SSD, 17.3"" Full HD (1920x1080), NVIDIA GTX 1650) with Loot Box , Gaming Controller , Headset",1249,MSI,5,Intel Core i7 9th Gen,2.6,6,640,16,1650,12,17.3,2.25
282,"Lenovo ThinkPad X390 13.3"" Laptop i5-10210U 8GB 256GB SSD Windows 10 Pro",1243.25,-1,5,-1,2.4,6,640,12,1650,12,13.3,2.5
283,"Newest Lenovo Legion Y540 15.6""FHD IPS  Gaming Laptop|Intel Core i7-9750H Hexa-Core Processor|Nvidia GeForce GTX 1650 4GB Graphics | 12GB Memory|512GB  M.2 SSD +1TB HDD|Backlit Keyboard| Windows 10",1239.99,Lenovo,5,Intel Core i7 9th Gen,2.4,6,1512,12,1650,4 GB,15.6,2.2
284,New HP Pavilion Thin&Powerful 15.6 Micro-edge FHD IPS Gaming Laptop| Intel Core i7-9750H 6-core |32GB DDR4|1TB PCIe M.2 SSD| NVIDIA GeForce GTX1650-4G | Green Backlit Keyboard |Windows 10,1233.99,-1,5,Intel Core i7 9th Gen,2.6,6,640,32,1650,4 GB,15.6,3
285,"XPC MSI GF65 THIN Gamer Notebook (Intel 9th Gen i7-9750H, 16GB RAM, 2TB NVMe SSD, NVIDIA GTX 1660 Ti 6GB, 15.6"" Full HD 120Hz 3ms, Windows 10) VR Ready Gaming Laptop",1233,XOTIC PC,5,Intel Core i7 9th Gen,2.6,6,640,16,1650,6 GB,15.6,2.15
286,"ASUS GA502DU-PB73 15.6"" 60 Hz IPS AMD Ryzen 7 2nd Gen 3750H (2.30 GHz) NVIDIA GeForce GTX 1660 Ti 8 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop",1218.97,ASUS,5,AMD Ryzen 7 2nd Gen,2.3,4,512,8,1650,6 GB,15.6,1.95
287,"MSI GL Series GL65 9SD-056CA 15.6"" 120 Hz IPS Intel Core i5 9th Gen 9300H (2.40 GHz) NVIDIA GeForce GTX 1660 Ti 8 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1217.97,MSI,5,Intel Core i5 9th Gen,2.4,4,512,8,1650,6 GB,15.6,1.7
288,"Lenovo Legion Y540-15IRH-PG0 81SY0005US 15.6"" Gaming Notebook - 1920 x 1080 - Core i7 i7-9750H - 16 GB RAM - 1 TB HDD - 256 GB SSD - Black",1206.49,Lenovo,5,Intel Core i7 9th Gen,2.6,6,640,16,1650,Up to 4 GB,15.6,2.5
289,"Dell Precision 15.6"" Full HD Laptop i5-8265U 8GB 256GB SSD W10 Radeon Pro WX2100",1204.65,-1,5,-1,2.4,6,640,12,1650,12,15.6,2.2
290,"Dell Precision 15.6"" Full HD Laptop i5-8265U 8GB 256GB SSD W10 Radeon Pro WX2100",1204.65,-1,5,-1,2.4,6,640,12,1650,12,15.6,2.19
291,"MSI GF65 THIN 9SD-004 Essential (i7-9750H, 16GB RAM, 1TB NVMe SSD, NVIDIA GTX 1660 Ti 6GB, 15.6"" Full HD 120Hz 3ms, Windows 10) VR Ready Gaming Laptop",1203,XOTIC PC,5,Intel Core i7 9th Gen,2.6,6,640,16,1650,6 GB,15.6,3
292,"XPC TUF Gaming TUF505 Gamer Notebook (AMD Ryzen 7 3750H, 16GB RAM, 1TB NVMe SSD + 1TB SSHD, NVIDIA GTX 1660Ti 6GB, 15.6"" Full HD, Windows 10) Gaming Laptop",1203,ASUS,5,AMD Ryzen 7 2nd Gen,2.3,4,640,16,1650,6 GB,15.6,2.54
293,"Refurbished: Acer Predator Helios 500 PH517-61-R0GX 17.3"" 144 Hz IPS AMD Ryzen 7 2nd Gen 2700 (3.20 GHz) AMD Radeon RX Vega 56 16 GB Memory 256 GB SSD Windows 10 Home 64-bit Grade A Gaming Laptop",1199.99,Acer,5,AMD Ryzen 7 2nd Gen,3.2,8,256,16,1650,8 GB,17.3,2
294,Newest ASUS ROG Strix-G 120Hz Gaming Laptop(Aura SYNC) | 15.6 FHD IPS Display| 9TH Intel 6-Core i7-9750H|32GB 2666MHz|1TB PCIe SSD+1TB HDD| NVDIA GTX1650 4GB GDDR5| RGB Backlit Keyboard | Windows 10,1199.99,-1,5,Intel Core i7 9th Gen,2.6,6,640,32,1650,4 GB,15.6,2.05
295,"Newest MSI 17.3"" FHD 1920x1080 120Hz 3ms Wideview Anti-Glare Gaming Laptop|Intel Core i7-8750H Six-Core|16GB DDR4 Ram|256G M.2 SSD +1T HDD|Backlit Keyboard|NVIDIA GeForce GTX1050Ti 4G | Windows 10",1199.99,-1,5,Intel Core i7 8th Gen,2.4,6,640,16,1650,4 GB,17.3,3.2
296,"MSI GL Series GL75 9SDK-063 17.3"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce GTX 1660 Ti 16 GB Memory 512 GB NVMe SSD Windows 10 Home 64-bit Gaming Laptop",1199,MSI,5,Intel Core i7 9th Gen,2.6,6,512,16,1650,6 GB,17.3,2.5
