name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"DELL Laptop XPS XPS9370-7040SLV Intel Core i7 8th Gen 8550U (1.80 GHz) 16 GB Memory 1 TB PCIe SSD Intel UHD Graphics 620 13.3"" Touchscreen Windows 10 Home 64-Bit","1,889.99",DELL,XPS,XPS9370-7040SLV,3,Windows 10 Home 64-Bit,Intel Core i7 8th Gen,8550U (1.80 GHz),Quad-core Processor,1 TB PCIe SSD,16 GB,Intel UHD Graphics 620,Shared system memory,"13.3"""
"MSI Laptop Prestige 14 A10SC-020 Intel Core i5 10th Gen 10210U (1.60 GHz) 16 GB Memory 512 GB NVMe SSD NVIDIA GeForce GTX 1650 Max-Q 14.0"" Windows 10 Pro 64-bit","1,199.00",MSI,,Prestige 14 A10SC-020,,Windows 10 Pro 64-bit,Intel Core i5 10th Gen,10210U (1.60 GHz),Quad-core Processor,512 GB NVMe SSD,16 GB,NVIDIA GeForce GTX 1650 Max-Q,4 GB,"14.0"""
"MSI Laptop Modern 14 A10M-460 Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 512 GB NVMe SSD 14.0"" Windows 10 Home 64-bit",749,MSI,,Modern 14 A10M-460,,Windows 10 Home 64-bit,Intel Core i5 10th Gen,10210U (1.60 GHz),Quad-core Processor,512 GB NVMe SSD,8 GB,,Shared system memory,"14.0"""
"HP Laptop ProBook 645 G4 4LB50UT#ABA AMD Ryzen 5 1st Gen 2500U (2.00 GHz) 8 GB Memory 500 GB HDD AMD Radeon Vega 8 14.0"" Windows 10 Pro 64-bit",499,HP,ProBook 645 G4,4LB50UT#ABA,,Windows 10 Pro 64-bit,AMD Ryzen 5 1st Gen,2500U (2.00 GHz),Dual-core Processor,500 GB,8 GB,AMD Radeon Vega 8,Shared system memory,"14.0"""
"MSI Laptop Modern 14 A10RB-459 Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 512 GB NVMe SSD NVIDIA GeForce MX250 14.0"" Windows 10 Pro 64-bit",899,MSI,,Modern 14 A10RB-459,,Windows 10 Pro 64-bit,Intel Core i5 10th Gen,10210U (1.60 GHz),Quad-core Processor,512 GB NVMe SSD,8 GB,NVIDIA GeForce MX250,2 GB,"14.0"""
"HP Laptop ProBook 650 G2 7VJ87UT#ABA Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 15.6"" Windows 10 Pro 64-bit",574.69,HP,ProBook 650 G2,7VJ87UT#ABA,,Windows 10 Pro 64-bit,Intel Core i5 6th Gen,6300U (2.40 GHz),Dual-core Processor,256 GB SSD,8 GB,Intel HD Graphics 520,Shared system memory,"15.6"""
"ASUS ZenBook 13 8th Gen Intel Whiskey Lake Core i5-8265U Processor, Nvidia MX150, 8GB LPDDR3, 256GB SSD, Backlit KB, Fingerprint, Windows 10 - UX331FN-DH51T, Slate Grey  Ultra-Slim Laptop 13.3”",984.99,ASUS,ZenBook,UX331FN-DH51T,3,Windows 10 Home 64-Bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB M.2 SATA SSD,8 GB LPDDR3,NVIDIA GeForce MX150,2 GB,"13.3"""
"ASUS Laptop X509FA-DB51 Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Home 64-bit",572.99,ASUS,,X509FA-DB51,,Windows 10 Home 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,256 GB SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"15.6"""
"MSI Laptop Modern 15 A10M-014 Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 512 GB NVMe SSD Intel UHD Graphics 15.6"" Windows 10 Home 64-bit",849.99,MSI,,Modern 15 A10M-014,,Windows 10 Home 64-bit,Intel Core i5 10th Gen,10210U (1.60 GHz),Quad-core Processor,512 GB NVMe SSD,8 GB,Intel UHD Graphics,Shared system memory,"15.6"""
"ASUSPRO P5440 Thin & Light Business Laptop, 14"" Wideview FHD, Intel Core i5-8265U, 8GB RAM, 512GB PCIe SSD, Fingerprint, Backlit KB, Windows 10 Pro, 10hrs Battery Life, P5440FA-XB54",899.99,ASUS,,P5440FA-XB54,,Windows 10 Pro 64-bit,Intel Core i5 8th Gen,8265U (1.60 GHz),Quad-core Processor,512 GB PCIEG3x2 NVME M.2 SSD,8 GB,Intel UHD Graphics 620,Shared system memory,"14.0"""
