name,price,brand,series,model,rating,os,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen
"Refurbished: Apple MacBook Pro 15"" Retina - 2.5GHz Intel Core i7-4870HQ Quad, 16 GB RAM, 512 GB flash storage, AMD Radeon R9 M370X 2GB, Force Touch Trackpad, Mac OS X - A1398 MJLT2LL/A (Mid 2015) Wear/Tear","1,125.00",Apple,MacBook Pro,A1398,,Mac OS X v10.13 High Sierra,Intel Core i7 4th Gen,2.50 GHz,Quad-core Processor,512 GB of PCIe-based flash storage,16 GB,"dual graphics processors -- an AMD Radeon R9 M370X with 2 GB of dedicated GDDR5 memory and an integrated Intel Iris 5200 Pro graphics processor with 128 MB of ""Crystalwell"" embedded DRAM",2 GB,"15.4"""
"Apple Macbook Air (A1932) with Retina 13.3"" Core i5 1.6GHZ 16GB Ram 256GB SSD Z0VD0003T","1,229.99",Apple,Macbook Air,A1932,,macOS,Intel Core i5,1.60 GHz,,256 GB SSD,16 GB,,,"13.0"""
"Refurbished: Apple MacBook Pro MB990LL/A 13.3"" Notebook - 2.26GHz Intel Core 2 Duo - 2GB 160GB - Mac OS X v10.6.3",299.99,Apple,MacBook Pro,MB990LL/A,4,Mac OS X v10.6 Snow Leopard,Intel Core 2 Duo,P8400 (2.26 GHz),,160 GB,2 GB,NVIDIA GeForce 9400M,Shared 256 MB,"13.3"""
"Refurbished: Apple Grade C Laptop MacBook Pro (Mid 2014) MGX92LL/A Intel Core i5 2.80 GHz 8 GB Memory 512 GB SSD 13.3"" Mac OS X v10.9 Mavericks",689.99,Apple,MacBook Pro (Mid 2014),MGX92LL/A,,Mac OS X v10.9 Mavericks,Intel Core i5,2.80 GHz,,512 GB SSD,8 GB,,,"13.3"""
"Refurbished: Apple Grade C Laptop MacBook Pro RRME874LL/A-C Intel Core i7 2.60 GHz 16 GB Memory 512 GB SSD 15.4"" Mac OS X v10.9 Mavericks","1,147.12",Apple,MacBook Pro,RRME874LL/A-C,,Mac OS X v10.9 Mavericks,Intel Core i7,2.60 GHz,Quad-core Processor,512GB SSD,16 GB,,,"15.4"""
"Refurbished: Apple MacBook Pro ME294LL/A Intel Core i7-4850HQ X4 2.3GHz 16GB SSD, Silver (Certified Refurbished)",895.00,Apple,,MacBook Pro ME294LL/A,,Mac OS X v10.9 Mavericks,,,Quad-core Processor,,,NVIDIA GeForce GT 750M,,"15.4"""
"Refurbished: Apple A Grade Macbook Pro 13.3-inch (Retina, Space Gray, Touch Bar) 2.9Ghz Dual Core i5 (Late 2016) MLH12LL/A 256GB SSD 8GB Memory 2560x1600 Display Mac OS Sierra Power Adapter Included",898.00,Apple,MacBook Pro,,,Mac OS X v10.12 Sierra,Intel Core i5,2.9 GHz,Dual-core Processor,256 GB,8 GB,Intel Iris Graphics 550,Shared system memory,"13.3"""
"Refurbished: Apple MacBook Pro ME293LL/A Intel Core i7-4700HQ X1 2.0GHz 8GB 256GB SSD,Silver(Scratch and Dent)",649.00,Apple,,MacBook Pro ME293LL/A,,Mac OS X v10.9 Mavericks,Intel Core i7 4th Gen,4700HQ (2.40 GHz),Quad-core Processor,,,Intel Iris Pro Graphics,,"15.4"""
"Refurbished: Apple Grade C Laptop MacBook Air RRMJVR2LL/AU2-C Intel Core i7 2.20 GHz 8 GB Memory 512 GB SSD 11.6"" Mac OS X v10.10 Yosemite",629.99,Apple,MacBook Air,RRMJVR2LL/AU2-C,,Mac OS X v10.10 Yosemite,Intel Core i7,2.20 GHz,,512 GB SSD,8 GB,,,"11.6"""
"Apple 16"" MacBook Pro (Late 2019, Space Gray) with Corel Program Bundle","2,573.99",Apple,,,,,Intel Core i7,2.60 GHz,,,16 GB,,,"16.0"""
"Used - Very Good: Apple Laptop MacBook Pro MGXA2LL/A Intel Core i7 2.20 GHz 16 GB Memory 256 GB SSD Intel Iris Graphics 15.4"" Mac OS X v10.10 Yosemite",,Apple,MacBook Pro,MGXA2LL/A,,Mac OS X v10.10 Yosemite,Intel Core i7,2.20 GHz,Quad-core Processor,256 GB SSD,16 GB,Intel Iris Graphics,Shared system memory,"15.4"""
Refurbished: Apple A Grade Macbook Air 13.3-inch 1.6GHZ Dual Core i5 (Early 2015) MJVE2LL/A 256 GB HD 4 GB Memory 1440 x 900 Display Mac OS X v10.12 Sierra Power Adapter Included,543.99,,MacBook Air,,4,Mac OS X v10.12 Sierra,Intel Core i5 5th Gen,5250U (1.60 GHz),Dual-core Processor,128 GB,4 GB,,,"13.3"""
"Refurbished: Apple MacBook Air MC968LL/A Intel Core i5-2467M X2 1.6GHz 2GB 64GB, Silver",349.00,Apple,,MacBook Air MC968LL/A,,Mac OS X v10.7 Lion,,,Dual-core Processor,,2 GB,Intel HD Graphics 3000,,"11.6"""
"Apple 16"" MacBook Pro (Late 2019, Space Gray) with Adapter Cord Bundle","2,550.99",Apple,,,,,Intel Core i7,2.60 GHz,,,16 GB,,,"16.0"""
