,name,price,brand,rating,cpu_type,cpu_speed,cores,storage,memory,gpu_type,gpu_memory,screen,weight
247,"Refurbished: HP Grade A Probook 640G2 14.0"" Laptop Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB DDR4 360 GB SSD DVD WIFI Windows 10 Home 64 bits (Multi-language) 1 Year Warranty",347.99,HP,-1,Intel Core i5 6th Gen,2.4,4,360,8,Intel HD Graphics 520,-1,14,3.6
248,"Lenovo Laptop ThinkPad T480 20L50067US Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-bit",876.4,Lenovo,5,Intel Core i5 8th Gen,1.6,4,256,8,Intel UHD Graphics 620,Shared system memory,14,1.49
249,"Refurbished: Refurbished HP Grade A Elitebook 745G2 14"" Laptop, AMD A10-7350B 2.1 GHz, 8GB Memory, 512G SSD, WIFI, Windows 10 Home 64-bit (Multi-language), 1 Year Warranty",292.99,HP,-1,AMD A10-Series,2.1,4,512,8,Intel HD Graphics,-1,14,1.37
250,"Refurbished: Lenovo ThinkPad T450s 14"" 1920x1080 Laptop PC, Intel Core i5-5300U 2.30GHz (Dual Core), 8GB DDR3 RAM, 256GB SSD, Win-10 Pro",473.11,Lenovo,5,Intel Core i5 5th Gen,2.3,2,256,8,Intel HD Graphics 5500,-1,14,2.08
251,"HP Laptop ProBook 450 G6 6QJ33UT#ABA Intel Core i5 8th Gen 8265U (1.60 GHz) 4 GB Memory 500 GB HDD Intel UHD Graphics 620 15.6"" Windows 10 Pro 64-bit",550.44,HP,-1,Intel Core i5 8th Gen,1.6,4,500,4,Intel UHD Graphics 620,Shared system memory,15.6,4.3
252,"Lenovo Flex-14API 81SS0002US AMD Ryzen 7 2nd Gen 3700U (2.30 GHz) 8 GB Memory 256 GB SSD AMD Radeon RX Vega 10 14"" Touchscreen 1920 x 1080 Convertible 2-in-1 Laptop Windows 10 Home 64-bit",599.99,Lenovo,4,AMD Ryzen 7 2nd Gen,2.3,4,256,8,AMD Radeon RX Vega 10,Shared system memory,14,1.68
253,"Dell inspiron 15.6"" TouchScreen Full HD Laptop,Intel Core i3-8130U,16GB DDR4 RAM,128GB SSD Plus 1TB HDD,Intel® UHD Graphics 620, Wifi-AC,Bluetooth 4.2,DVD-RW, HDMI,USB,Windows 10 Pro",675,DELL,5,Intel Core i3 8th Gen,2.2,4,1128,16,Intel UHD Graphics 620,-1,15.6,1.37
254,"Microsoft Laptop Surface Laptop JKQ-00036 Intel Core i7 7th Gen 7660U (2.50 GHz) 8 GB Memory 256 GB SSD Intel Iris Plus Graphics 640 13.5"" Touchscreen Windows 10 Pro 64-Bit",1652,Microsoft,4,Intel Core i7 7th Gen,2.5,2,256,8,Intel Iris Plus Graphics 640,Shared system memory,13.5,3
255,"HP Laptop EliteBook 840 G5 (6NT00UT#ABA) Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-bit",949.89,HP,-1,Intel Core i5 8th Gen,1.6,4,256,8,Intel UHD Graphics 620,Shared system memory,14,1.41
256,"Lenovo IdeaPad 130 Laptop, 15.6"" HD Display, AMD A9-9425 Upto 3.70GHz, 4GB RAM, 256GB SSD, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",299.99,Lenovo,-1,AMD Dual-Core Processor,3.1,2,256,4,AMD Radeon R5 Series,Shared system memory,15.6,1.91
257,"Lenovo IdeaPad 130 Laptop, 15.6"" HD Display, AMD A9-9425 Upto 3.70GHz, 16GB RAM, 256GB SSD, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",389.99,Lenovo,-1,AMD Dual-Core Processor,3.1,2,256,16,AMD Radeon R5 Series,Shared system memory,15.6,2.9
258,"Lenovo IdeaPad 130 Laptop, 15.6"" HD Display, AMD A9-9425 Upto 3.70GHz, 8GB RAM, 256GB SSD, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",319.99,Lenovo,-1,AMD Dual-Core Processor,3.1,2,256,8,AMD Radeon R5 Series,Shared system memory,15.6,4.14
259,"Used - Like New: DELL Laptop Inspiron i5558-6435SLV Intel Core i7 5500U (2.40GHz) 8GB Memory 1TB HDD Intel HD Graphics 15.6"" Touchscreen Windows 10 Home 64-Bit English",740,DELL,-1,Intel Core i7 5th Gen,2.4,2,1000,8,Intel HD Graphics,Shared system memory,15.6,2
260,"Lenovo IdeaPad 130 Laptop, 15.6"" HD Display, AMD A9-9425 Upto 3.70GHz, 8GB RAM, 256GB SSD, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Pro",339.99,Lenovo,-1,AMD Dual-Core Processor,3.1,2,256,8,AMD Radeon R5 Series,Shared system memory,15.6,2.8
261,"Lenovo IdeaPad 130 Laptop, 15.6"" HD Display, AMD A9-9425 Upto 3.70GHz, 4GB RAM, 128GB SSD, DVDRW, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home S",279,Lenovo,-1,AMD Dual-Core Processor,3.1,2,128,4,AMD Radeon R5 Series,Shared system memory,15.6,2.2
262,"HP Laptop ProBook 440 G6 5VC11UT#ABA Intel Core i5 8th Gen 8265U (1.60 GHz) 4 GB Memory 128 GB SSD Intel UHD Graphics 620 14.0"" Windows 10 Pro 64-bit",549.99,HP,-1,Intel Core i5 8th Gen,1.6,4,128,4,Intel UHD Graphics 620,Shared system memory,14,2.1
263,"ASUS VivoBook F441 Light and Powerful Laptop, AMD A9-9420 Dual Core Processor (Boost up to 3.60 GHz) with Radeon R5 Graphics, 8 GB DDR4 RAM, 1 TB HDD, 14"" FHD Display, Windows 10, F441BA-ES91",359.26,ASUS,-1,AMD A9-Series,3,2,1000,8,AMD Radeon R5 Series,Shared system memory,14,2.18
264,"DELL Latitude 7285 PY9V9 Intel Core i5 7th Gen 7Y57 (1.20 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 615 12.3"" Touchscreen 2880 x 1920 Detachable 2-in-1 Laptop Windows 10 Pro 64-bit",637.99,DELL,5,Intel Core i5 7th Gen,1.2,2,256,8,Intel HD Graphics 615,Shared system memory,12.3,2.24
265,"Dell Inspiron 15.6"" Home and Business Laptop HD Touchscreen PC Core i3-8145U, 4GB RAM, 128GB SSD, 2 Cores up to 3.90 GHz, UHD Graphics 620, LAN, WebCam, SD Card, Win 10",386.59,DELL,-1,Intel Core i3 8th Gen,2.1,2,128,4,Intel UHD Graphics 620,-1,15.6,2.67
266,"Microsoft Laptop Surface Laptop 2 PHW-00001 Intel Core i5 8th Gen 8350U (1.70 GHz) 16 GB Memory 256 GB SSD Intel UHD Graphics 620 13.5"" Touchscreen Windows 10 Pro 64-bit",1277.97,Microsoft,5,Intel Core i5 8th Gen,1.7,4,256,16,Intel UHD Graphics 620,Shared system memory,13.5,1.1
267,"Lenovo Laptop IdeaPad 330s 81F5000EUS Intel Core i5 8th Gen 8250U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" Windows 10 Home 64-bit",749.99,Lenovo,3,Intel Core i5 8th Gen,1.6,4,256,8,Intel UHD Graphics 620,Shared system memory,15.6,2.2
268,"2019 Newest HP 17 17.3 Inch HD+ Business Laptop (8th Intel Dual Core i3-8130U, 12GB DDR4 RAM, 1TB M.2 SSD+1TB SSD) DVD-RW, Ethernet, HDMI 1.4b, 802.11 AC WiFi, Bluetooth, Ethernet, Windows 10 64-bit",839.99,HP,-1,Intel Core i3 8th Gen,2.2,2,2000,12,Intel UHD Graphics 620,-1,17.3,2.5
269,"HP ProBook 450 G6 Notebook, 15.6"" HD Display, Intel Core i5-8265U Up to 3.9 GHz, 8 GB RAM, 128 GB SSD, HDMI, Mini DisplayPort, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home",569.99,HP,-1,Intel Core i5 8th Gen,1.6,4,128,8,Intel UHD Graphics 620,Shared system memory,15.6,2.05
270,"2020 HP 15.6"" HD Touchscreen Premium Home & Business Laptop, 10th Gen Intel Quad-Core i7-1065G7 upto 3.9GHz, 8GB RAM, 256GB SSD, WIFI, HDMI, Bluetooth, Card Reader, Windows 10",679.99,HP,-1,Intel Core i7,1.3,4,256,8,-1,-1,15.6,1.37
271,"HP Elitebook 850 G5 15.6"" Full HD FHD (1920x1080) Touchscreen Business Laptop (Intel Quad-Core i7-8650U Vpro, 16GB DDR4 RAM, 512GB PCIe M.2 SSD) Fingerprint, Backlit, Thunderbolt, HDMI, Windows 10 Pro",1349.99,-1,-1,Intel Core i7 8th Gen,1.9,4,512,16,Intel UHD Graphics 620,-1,15.6,3.2
272,"Lenovo Laptop IdeaPad 330-15IKBR 81DE01KRUS Intel Core i3 8th Gen 8130U (2.20 GHz) 4 GB Memory 1 TB HDD Intel UHD Graphics 620 15.6"" Windows 10 Home 64-Bit",524.99,Lenovo,-1,Intel Core i3 8th Gen,2.2,2,1000,4,Intel UHD Graphics 620,Shared system memory,15.6,2.14
273,"Lenovo IdeaPad, S340 Laptop, 15.6"" Screen, 10th Gen Intel Core i7, 8GB Memory, 256GB Solid State Drive, Windows 10 Home, Onyx Black, 81VW0020US",594,Lenovo,-1,Intel Core i7 10th Gen,1.3,4,256,8,-1,-1,15.6,1.36
